City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
461,Beringovskiy,RU,63.05,179.3167,46.42,72,15,5.55,few clouds
462,Fort Nelson,CA,58.8053,-122.7002,58.59,82,100,5.75,overcast clouds
463,Salihorsk,BY,52.7876,27.5415,52.88,89,97,4.18,overcast clouds
464,Turbat,PK,26.0023,63.044,83.32,73,57,4.45,broken clouds
465,Beloha,MG,-25.1667,45.05,62.98,65,55,7.29,broken clouds
466,Inta,RU,66.0317,60.1659,61.83,64,100,6.78,overcast clouds
467,Altea,ES,38.5989,-0.0514,79.65,37,2,1.01,clear sky
468,Haines Junction,CA,60.7522,-137.5108,71.55,26,97,1.14,overcast clouds
469,Pandan Niog,PH,6.2282,120.5631,82.26,73,65,2.42,broken clouds
470,Broken Hill,AU,-31.95,141.4333,58.33,45,61,7.85,broken clouds
471,Aquin,HT,18.2833,-73.4,80.17,79,99,4.76,overcast clouds
472,Severobaykalsk,RU,55.65,109.3167,60.8,62,100,2.46,overcast clouds
473,Claremore,US,36.3126,-95.6161,87.93,74,81,1.99,broken clouds
474,Aguilas,ES,37.4063,-1.5829,81.09,37,8,7.67,clear sky
475,Zurrieq,MT,35.8311,14.4742,71.96,68,0,5.75,clear sky
476,Puerto Carreno,CO,6.189,-67.4859,75.42,92,100,2.59,overcast clouds
477,Ballina,AU,-28.8667,153.5667,68.02,55,2,6.08,clear sky
478,Kapan,AM,39.2075,46.4058,66.97,74,35,2.19,scattered clouds
479,Tiznit,MA,29.5833,-9.5,69.49,55,0,1.14,clear sky
480,Khash,IR,28.2211,61.2158,84.45,13,0,4.32,clear sky
481,Severnyy,RU,50.677,36.5532,59.04,67,0,2.24,clear sky
482,Verkhnyaya Inta,RU,65.9811,60.3094,62.37,62,100,5.53,overcast clouds
483,Yagoua,CM,10.3411,15.2329,75.96,79,100,12.35,overcast clouds
484,San Ignacio,BZ,17.1561,-89.0714,71.74,94,40,0.0,scattered clouds
485,Zhanaozen,KZ,43.3,52.8,79.23,20,18,11.43,few clouds
486,Deoband,IN,29.7,77.6833,88.36,45,46,3.49,scattered clouds
487,Suntar,RU,62.1444,117.6319,65.88,40,0,8.34,clear sky
488,Bulgan,MN,48.8125,103.5347,69.35,62,18,4.16,few clouds
489,Grand Gaube,MU,-20.0064,57.6608,69.39,77,1,12.15,clear sky
490,Itoman,JP,26.1247,127.6694,82.78,89,75,16.11,broken clouds
491,Arys,KZ,42.4252,68.795,80.87,32,10,8.3,clear sky
492,Fairbanks,US,64.8378,-147.7164,73.6,50,75,10.36,broken clouds
493,Axim,GH,4.8699,-2.2405,75.2,91,91,10.56,light rain
494,Camopi,GF,3.1655,-52.3158,70.72,99,69,1.86,broken clouds
495,Ginir,ET,7.1333,40.7,56.34,80,89,8.28,overcast clouds
496,Nome,US,64.5011,-165.4064,64.17,65,0,4.61,clear sky
497,Caravelas,BR,-17.7125,-39.2481,68.59,77,0,4.61,clear sky
498,Kavieng,PG,-2.5744,150.7967,84.51,69,29,14.14,scattered clouds
499,Timberlake,US,37.3207,-79.2575,73.99,88,20,4.61,few clouds
500,Dingle,PH,10.9995,122.6711,87.01,68,33,6.96,scattered clouds
501,Rio Gallegos,AR,-51.6226,-69.2181,32.05,69,0,18.41,clear sky
502,Dubove,UA,48.1721,23.8895,56.91,69,94,3.06,overcast clouds
503,Aykhal,RU,66.0,111.5,66.04,44,42,5.86,scattered clouds
504,Guozhen,CN,34.3659,107.359,90.34,28,100,0.65,overcast clouds
505,Bouillante,GP,16.1304,-61.7692,79.83,75,100,9.64,overcast clouds
506,Hindaun,IN,26.7167,77.0167,89.19,55,0,14.63,clear sky
507,Sulangan,PH,11.1373,123.7228,84.02,71,3,3.87,clear sky
508,Khorramabad,IR,33.4878,48.3558,65.82,16,0,4.61,clear sky
509,Vila,PT,42.0304,-8.1588,56.7,88,100,7.54,overcast clouds
510,Estreito,BR,-5.7833,-43.25,73.2,78,75,0.56,broken clouds
511,Husavik,IS,66.0449,-17.3389,52.29,65,100,6.02,overcast clouds
512,Filiatra,GR,37.15,21.5833,70.7,73,1,4.0,clear sky
513,La Baule-Escoublac,FR,47.2922,-2.364,68.72,69,0,5.75,clear sky
514,Snasa,NO,64.2457,12.3778,51.48,98,100,3.53,overcast clouds
515,Mount Gambier,AU,-37.8333,140.7667,53.51,94,100,8.05,overcast clouds
516,Ostersund,SE,63.1792,14.6357,52.25,93,75,5.75,broken clouds
517,Ishigaki,JP,24.3448,124.1572,84.33,94,75,11.5,broken clouds
518,Riohacha,CO,11.5444,-72.9072,79.68,85,100,10.94,overcast clouds
519,Ulaanbaatar,MN,47.9077,106.8832,71.73,46,20,8.95,few clouds
520,Traipu,BR,-9.9706,-37.0033,69.98,82,80,2.37,broken clouds
521,Waingapu,ID,-9.6567,120.2641,83.08,68,66,15.79,broken clouds
522,Nenjiang,CN,49.1833,125.2167,75.45,41,12,12.28,few clouds
523,Macusani,PE,-14.0833,-70.4333,32.05,58,0,3.51,clear sky
524,El Tigre,VE,8.8875,-64.2454,77.22,75,9,12.12,clear sky
525,Mareeba,AU,-17.0,145.4333,73.49,65,53,5.99,broken clouds
526,Yambio,SS,4.5721,28.3955,65.64,96,8,3.11,clear sky
527,Alice Springs,AU,-23.7,133.8833,69.22,32,0,13.8,clear sky
528,Mezhdurechensk,RU,53.6942,88.0603,56.7,92,89,5.91,light rain
529,Wajima,JP,37.4,136.9,75.88,73,40,17.27,scattered clouds
530,Port Lincoln,AU,-34.7333,135.8667,58.3,65,0,7.27,clear sky
531,Hamilton,US,39.1834,-84.5333,84.83,80,0,6.91,clear sky
532,Christchurch,NZ,-43.5333,172.6333,50.92,75,75,4.61,broken clouds
533,Srednekolymsk,RU,67.45,153.6833,65.73,19,9,9.66,clear sky
534,Alenquer,BR,-1.9417,-54.7383,72.64,80,16,3.36,few clouds
535,Campeche,MX,19.0,-90.5,74.59,94,72,2.44,broken clouds
536,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,60,20,27.63,few clouds
537,Westport,US,41.1415,-73.3579,69.84,87,100,11.5,overcast clouds
538,Stornoway,GB,58.2093,-6.3865,54.93,95,75,23.02,heavy intensity rain
539,Sibu,MY,2.3,111.8167,82.71,89,40,3.44,scattered clouds
540,Narsaq,GL,60.9167,-46.05,43.02,74,100,2.08,overcast clouds
541,Leningradskiy,RU,69.3833,178.4167,38.44,70,89,9.75,overcast clouds
542,Phan Thiet,VN,10.9333,108.1,85.51,66,16,3.2,few clouds
543,Riviere-Au-Renard,CA,48.9957,-64.3971,73.69,54,100,17.78,overcast clouds
544,Krasnoarmeyskoye,RU,52.7182,50.0322,60.33,93,47,6.93,scattered clouds
545,Kamenka,RU,51.3223,42.7678,53.04,94,0,6.26,clear sky
546,Saiha,IN,22.4833,92.9667,70.52,96,99,1.28,overcast clouds
547,Dickinson,US,29.4608,-95.0513,87.13,79,0,8.05,clear sky
