City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
427,La Asuncion,VE,80.33,clear sky,11.0333,-63.8628,Colinas de Matasiete
429,Griffith,US,84.69,clear sky,41.5284,-87.4237,Apartment above Depot Bar
437,Santa Rosalia,MX,89.44,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
438,Porto Novo,BJ,75.07,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
443,San Policarpo,PH,84.24,scattered clouds,12.1791,125.5072,Agapita M. Nicart
445,Qianan,CN,76.42,clear sky,44.9932,124.0581,Qian'an Hotel
446,Pocatello,US,84.11,clear sky,42.8713,-112.4455,TownePlace Suites by Marriott Pocatello
447,Gandai,IN,82.36,overcast clouds,21.6667,81.1,Shree Sai Lodge
448,Carora,VE,78.1,broken clouds,10.1755,-70.0827,Hotel Irpinia
450,Zhicheng,CN,83.95,overcast clouds,30.2956,111.5047,Wangjiang Building
453,Kathmandu,NP,75.42,scattered clouds,27.7167,85.3167,Hotel Shanker Kathmandu
454,Sorong,ID,82.2,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
456,Buraydah,SA,84.65,clear sky,26.326,43.975,Mövenpick Qassim
457,Bambanglipuro,ID,82.24,scattered clouds,-7.95,110.2833,Puri Brata
460,Bonthe,SL,76.78,moderate rain,7.5264,-12.505,Bonthe Holiday Village
464,Turbat,PK,83.32,broken clouds,26.0023,63.044,Mubashar Quarters
467,Altea,ES,79.65,clear sky,38.5989,-0.0514,Albir Playa Hotel & Spa
471,Aquin,HT,80.17,overcast clouds,18.2833,-73.4,Asheev Beach
473,Claremore,US,87.93,broken clouds,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
474,Aguilas,ES,81.09,clear sky,37.4063,-1.5829,Hotel Carlos III
476,Puerto Carreno,CO,75.42,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
480,Khash,IR,84.45,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
483,Yagoua,CM,75.96,overcast clouds,10.3411,15.2329,Sahel Hotel
485,Zhanaozen,KZ,79.23,few clouds,43.3,52.8,K.korabay 28A
486,Deoband,IN,88.36,scattered clouds,29.7,77.6833,Anupam Hotel
490,Itoman,JP,82.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
491,Arys,KZ,80.87,clear sky,42.4252,68.795,Gostinitsa
493,Axim,GH,75.2,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
498,Kavieng,PG,84.51,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
500,Dingle,PH,87.01,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
505,Bouillante,GP,79.83,overcast clouds,16.1304,-61.7692,Gîtes Dardanelle
506,Hindaun,IN,89.19,clear sky,26.7167,77.0167,Shri Ganesham Resort and Water Park
507,Sulangan,PH,84.02,clear sky,11.1373,123.7228,Maia's Beach Resort
517,Ishigaki,JP,84.33,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
518,Riohacha,CO,79.68,overcast clouds,11.5444,-72.9072,Hotel Taroa
521,Waingapu,ID,83.08,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
522,Nenjiang,CN,75.45,few clouds,49.1833,125.2167,Nenjiang Apartment
524,El Tigre,VE,77.22,clear sky,8.8875,-64.2454,Hotel Santa Cruz
529,Wajima,JP,75.88,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
531,Hamilton,US,84.83,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
539,Sibu,MY,82.71,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
542,Phan Thiet,VN,85.51,few clouds,10.9333,108.1,Hotel Saigon-PT
547,Dickinson,US,87.13,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
550,Kurumkan,RU,76.21,broken clouds,54.3,110.3,Ilikchin
